abbrev,state,Abruzzo,Basilicata,Bolzano,Calabria,Campania,Emilia-Romagna,Friuli Venezia-Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino,Umbria,Valle d'Aosta,Veneto
10,Piemonte,7,1,0,6,3,11,2,19,62,91,4,0,N/A,10,4,10,60,1,1,10,11
20,Valle d'Aosta,0,0,0,1,0,0,0,1,2,1,0,0,7,0,0,0,0,0,1,N/A,1
30,Lombardia,10,0,2,8,13,89,0,18,54,N/A,8,5,58,13,5,38,149,0,1,1,47
41,Bolzano,0,0,N/A,1,0,3,0,2,2,1,0,0,0,2,0,0,0,0,0,0,12
42,Trentino,0,0,7,0,0,3,0,0,2,2,0,0,2,1,0,0,4,N/A,0,0,22
50,Veneto,3,3,5,2,1,28,3,5,4,34,1,0,14,6,1,3,41,3,0,0,N/A
60,Friuli Venezia-Giulia,4,0,3,0,0,2,N/A,1,0,7,0,0,0,2,1,3,15,2,0,0,126
70,Liguria,0,0,1,2,1,41,0,3,N/A,25,3,0,27,0,1,6,142,0,4,0,2
80,Emilia-Romagna,7,2,1,6,3,N/A,0,14,11,46,35,0,5,8,2,4,68,0,2,0,27
90,Toscana,3,1,0,5,5,33,3,14,37,26,4,0,4,1,9,11,N/A,1,5,0,7
100,Umbria,9,1,1,0,2,17,0,20,0,5,30,0,0,1,0,1,116,0,N/A,0,6
110,Marche,44,1,1,5,2,17,0,15,2,10,N/A,3,2,3,2,2,40,1,0,0,7
120,Lazio,34,6,0,10,25,18,0,N/A,12,26,7,6,8,10,9,9,100,0,7,0,10
130,Abruzzo,N/A,0,0,0,0,18,2,28,5,7,71,16,4,1,0,1,78,0,1,0,4
140,Molise,34,0,0,0,1,0,0,7,0,0,2,N/A,2,0,0,0,11,0,0,0,1
150,Campania,8,9,0,7,N/A,24,1,69,45,37,7,9,8,17,2,10,77,1,2,1,10
160,Puglia,97,17,1,0,5,35,0,21,7,35,11,5,11,N/A,1,2,119,0,1,0,9
170,Basilicata,2,N/A,0,1,9,4,1,8,0,7,2,0,2,11,0,1,25,0,1,0,5
180,Calabria,1,31,0,N/A,4,23,0,31,9,39,1,1,10,6,0,37,86,0,2,1,5
190,Sicilia,2,0,2,34,6,19,1,32,15,55,1,0,19,1,1,N/A,82,0,1,1,13
200,Sardegna,1,0,0,1,0,4,1,14,15,20,1,0,15,0,N/A,2,42,1,1,0,6
